,Unnamed: 0,index,ticket_id,type,organization,comment,photo,photo_after,coords,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity,level
165,165,7778,2022-3PZD27,"{น้ำท่วม,ถนน}","เขตคลองสามวา,ฝ่ายโยธา เขตคลองสามวา,ผอ.เขตคลองสามวา (นายสมหวัง),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",ซอยเจริญพัฒนา3เป็นซอยหนึ่งที่ได้รับผลกระทบเวลาฝนตกทางจะเป็นหลุมเป็นบ่อตามภาพที่แนบชื่อซอยกับถนนไม่ได้พัฒนาตามน้ำท่วมขังบ่อยมากซึ่งใช้เป็นทางเดินหลักของคนในซอยเป็นแบบนี้มาหลายปีแล้วไม่ได้รับการแก้ไขให้เป็นถนน(จริงๆ)ถามว่ามาแก้มั้ยมาแก้คือเอาหินคลุมมาลงพอฝนตกก็เป็นหลุมเป็นบ่อเหมือนเดิม,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/9008306dbbe85b5d36047bfd22b0e2128881a4bf.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-08/1692251691652.jpeg,"100.71237,13.82378",ซอย เจริญพัฒนา 3 ถนน เจริญพัฒนา แขวง บางชัน เขตคลองสามวา กรุงเทพมหานคร 10510 ประเทศไทย,บางชัน,คลองสามวา,กรุงเทพมหานคร,2022-06-05 09:29:39.062903+00,เสร็จสิ้น,,14,2023-08-17 05:54:53.302942+00,2.0
170,170,8035,2022-P7VF87,{น้ำท่วม},"เขตจตุจักร,ผอ.เขตจตุจักร (นางสาวภัทร์กร),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)",ในซอยพหลโยธิน 34 ทางออกประเสริฐมนูกิจ2 ฝนตกแล้วน้ำท่วมขัง ทำให้การจราจรในซอยติดขัดค่า,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/e037e36e1e3cb1efcf80ffb5a42c1c70b35eaad1.jpg,,"100.57628,13.83703",RHPG+RGM ซอย พหลโยธิน 34 แยก 1 แขวง เสนานิคม เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,เสนานิคม,จตุจักร,กรุงเทพมหานคร,2022-06-05 10:57:48.987518+00,เสร็จสิ้น,5.0,0,2023-02-13 10:06:01.238729+00,2.0
171,171,8146,2022-DEQL9Z,{น้ำท่วม},"เขตคลองสามวา,ฝ่ายโยธา เขตคลองสามวา,ผอ.เขตคลองสามวา (นายสมหวัง),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",น้ำท่วมขังค่ะ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/c4587d17d51fbfef13eb60a955c8d2a38baa9de2.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-08/59e134f9afaa02499f84cc3c3f75d0bacb54426f.jpg,"100.69339,13.86648",41/158 ซอย พระยาสุเรนทร์ 42 แขวง สามวาตะวันตก เขตคลองสามวา กรุงเทพมหานคร 10510 ประเทศไทย,สามวาตะวันตก,คลองสามวา,กรุงเทพมหานคร,2022-06-05 11:42:35.779421+00,เสร็จสิ้น,4.0,0,2022-08-10 07:02:14.662583+00,2.0
173,173,8168,2022-CKUTTA,{น้ำท่วม},"เขตดินแดง,ฝ่ายโยธา เขตดินแดง,ผอ.เขตดินแดง (นายชูชาติ),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)",น้ำท่วมขัง,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/da9f8b8f9e5ee9903d7d8ab74956f8a977788097.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/63bc42aeb421b655b445cd94f4b0d08f7e942a40.jpg,"100.56974,13.77985",2015 ถนน ประชาสงเคราะห์ แขวง ดินแดง เขตดินแดง กรุงเทพมหานคร 10400 ประเทศไทย,ดินแดง,ดินแดง,กรุงเทพมหานคร,2022-06-05 11:51:02.829542+00,เสร็จสิ้น,5.0,0,2022-06-30 06:51:52.819689+00,1.0
174,174,8226,2022-38KVTD,"{น้ำท่วม,ถนน}","เขตบางเขน,ผอ.เขตบางเขน (น.ส.อัญชนา),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)","1. ปัญหาน้ำท่วมบริเวณซอยพหลโยธิน 55/1 วงเวียนบางเขน และถนนแจ้งวัฒนะช่วงก่อนเข้าวงเวียนบางเขนช่วงฝนตกหนัก บางครั้งฝนตกไม่หนักแต่สูบน้ำจากอุโมงค์ลอดใต้วงเวียนบางเขนสูบทิ้งที่บริเวณถนนพหลโยธิน ฝั่งขาออก บริเวณวงเวียนบางเขน
จุดนี้ กทม. เคยสร้างบ่อหน่วงน้ำหน้าหมู่บ้านอมรินทร์นิเวศน์ แต่เวลาฝนตกไม่ได้ปล่อยระบายน้ำไปเก็บที่บ่อหน่วงน้ำหน้าหมู่บ้านอมรินทร์ ครั้งล่าสุดที่ กทม. ฝนตกหนักเมื่อวันที่ 18 พฤษภาคม 2565 น้ำท่วมตั้งแต่ตอนกลางคืน ท่วมประมาณ 25 ซม. ท่วมในซอย เข้าที่จอดรถ กว่าจะลดคือ ตอนเช้าของอีกวันนึง และวันที่ 31 พฤษภาคม 2565 ที่น้ำท่วมเหมือนเดิม แต่ครั้งนี้ลดไว ท่วมไป 4-5 ชั่วโมง อยากให้แก้ไขการระบายน้ำจากการสูบน้ำจากอุโมงค์ลอดใต้วงเวียนบางเขนที่สูบน้ำมาปล่อยที่จุดบริเวณปากซอยพหลโยธิน 55/1 เพราะการออกแบบการระบายน้ำของอุโมงค์มีการออกแบบไว้ 4 มุมของอุโมงค์ และใช้งานบ่อหน่วงน้ำของ กทม. อย่างมีประสิทธิภาพ",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/e85d54ebd1949df5d864efb655e0c863a51eeffc.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/3595d150007ce32aea213a42fdd879977d967730.jpg,"100.59644,13.87738",79/70 ถ. พหลโยธิน แขวง อนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220 ประเทศไทย,อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,2022-06-05 12:13:01.79651+00,เสร็จสิ้น,,0,2022-06-05 12:47:09.46146+00,2.0
175,175,8232,2022-736GKD,{น้ำท่วม},"เขตบางเขน,ผอ.เขตบางเขน (น.ส.อัญชนา),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)",น้ำท่วมค่ะ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/719ac1f1e8a535003508b16c8b940d5f2b495673.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/62da79d44399ff9922606a0fb6dafb652316419d.jpg,"100.59639,13.87747",79/70 ถ. พหลโยธิน แขวง อนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220 ประเทศไทย,อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,2022-06-05 12:15:19.210794+00,เสร็จสิ้น,,0,2022-06-05 12:29:35.337658+00,2.0
176,176,8387,2022-FA9GAH,{น้ำท่วม},"เขตมีนบุรี,ฝ่ายโยธา เขตมีนบุรี,ผอ.เขตมีนบุรี (นายศักดิ์ชัย),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",พอฝนตกน้ำขังหนักมากจะเดินออกไปรอรถลำบากคะ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/e4a7d1753393386eb1eff266d84abd582e18e03c.jpg,,"100.78291,13.83598",31 ซอย สุนีย์ อินเตอร์เทรด แขวง แสนแสบ มีนบุรี กรุงเทพมหานคร 10510 ประเทศไทย,แสนแสบ,มีนบุรี,กรุงเทพมหานคร,2022-06-05 13:05:51.26593+00,เสร็จสิ้น,,0,2023-08-09 02:16:15.136825+00,1.0
177,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1,1,1.0
178,178,8634,2022-H8PHW2,"{ท่อระบายน้ำ,น้ำท่วม}","เขตคลองสามวา,ฝ่ายโยธา เขตคลองสามวา,ผอ.เขตคลองสามวา (นายสมหวัง),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",ซอยไม่มีท่อระบายน้ำ น้ำท่วมเข้าบ้าน,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/05e1ae097f442a51fa3d9d9ab27b958b2d8a8825.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-11/74c1b0e8de37c76c2acc2dfb0c8e988fe735d4b4.jpg,"100.70866,13.84303",130 สุเหร่าคลองหนึ่ง 13 แขวง บางชัน เขตคลองสามวา กรุงเทพมหานคร 10510 ประเทศไทย,บางชัน,คลองสามวา,กรุงเทพมหานคร,2022-06-05 14:44:14.558449+00,เสร็จสิ้น,2.0,0,2022-11-22 09:27:02.698134+00,2.0
180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1,1,1.0
182,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1,1,1.0
183,183,9482,2022-7U38TG,{น้ำท่วม},"เขตคลองสามวา,ฝ่ายโยธา เขตคลองสามวา,ฝ่ายรักษาความสะอาดฯ เขตคลองสามวา,ผอ.เขตคลองสามวา (นายสมหวัง),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",เพราะรถต้องหลบน้ำขังบนถนน,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/2b7a79f63e818298a44a7c41cc449c2b7d001d48.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/9e5ee6a8f9c4bdaf3ca205132e47ba693d3fbaf8.jpg,"100.72581,13.82855",80/1 ซอย สามวา 2 แขวง บางชัน เขตคลองสามวา กรุงเทพมหานคร 10510 ประเทศไทย,บางชัน,คลองสามวา,กรุงเทพมหานคร,2022-06-06 04:35:36.83732+00,เสร็จสิ้น,3.0,1,2022-12-24 01:21:07.909115+00,2.0
184,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1,1,1.0
185,185,9588,2022-4TQ4YR,"{ทางเท้า,น้ำท่วม,ถนน}","เขตจตุจักร,สำนักการโยธา กทม.,ผอ.เขตจตุจักร (นางสาวภัทร์กร),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)",“ทางเท้าหน้าแวนเทจคอนโด (Vantage Ratchavipa) ที่ตั้ง ถนนรัชดาภิเษก แขวงลาดยาว เขตจตุจักร กรุงเทพ 10900 ทางเท้าเป็นหลุมเป็นบ่อ เวลาฝนตกจะมีน้ำท่วมขัง อยากให้ทางสำนักงานเขตจตุจักรมาช่วยแก้ไขครับ”,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/71f451dcfa92fe1d409d857d7e1fd34131111977.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-07/bfd99b697d4ce9b101ea8991305d41899981cd4d.jpg,"100.56014,13.83069",252 ถ. รัชดาภิเษก แขวง จตุจักร เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,ลาดยาว,จตุจักร,กรุงเทพมหานคร,2022-06-06 05:45:53.498224+00,เสร็จสิ้น,5.0,0,2023-02-13 09:46:33.472312+00,1.0
186,186,9682,2022-HCB28W,"{ถนน,น้ำท่วม}","เขตตลิ่งชัน,ผอ.เขตตลิ่งชัน (นางชดาวรรณ),กลุ่มกรุงธนเหนือ (นายเฉลิมพล โชตินุชิต)",มีน้ำท่วมขังเวลาฝนตกเป็นเวลานานเกิดจากการปรับระดับถนนไม่เท่ากันเป็นแอ่งน้ำขัง ทำให้เข้าออกลำบากต้องลุยน้ำครับ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/16f98cf1045610ae7cec0aa2e9f7983bfce49084.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/75e9964881df62192633bd2ecb1c175257181c55.jpg,"100.41828,13.76496",162 ถนน บางระมาด แขวง บางระมาด เขตตลิ่งชัน กรุงเทพมหานคร 10170 ประเทศไทย,บางระมาด,ตลิ่งชัน,กรุงเทพมหานคร,2022-06-06 07:28:40.47714+00,เสร็จสิ้น,2.0,0,2022-06-09 04:14:11.785307+00,1.0
188,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1,1,1.0
193,193,10092,2022-F8MBFB,"{ท่อระบายน้ำ,ทางเท้า,น้ำท่วม}","เขตประเวศ,ฝ่ายโยธา เขตประเวศ,ผอ.เขตประเวศ (นายดิชา),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",น้ำขัง เพราะไม่มีทางระบายฟุตบาททีามีท่อระบายน้ำโดนรั้วบ้านอื่นปิดทับ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/976b78ae06a95a314422ce75d9be25e852b26286.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/94c50e80505ee8fb199067501cfc7f52e8f65d69.jpg,"100.65920,13.72504",205/48 ถ. พัฒนาการ แขวง ประเวศ เขต ประเวศ กรุงเทพมหานคร 10250 ประเทศไทย,ประเวศ,ประเวศ,กรุงเทพมหานคร,2022-06-06 10:32:47.454422+00,เสร็จสิ้น,,0,2022-10-21 08:06:42.753985+00,2.0
202,202,10262,2022-7Z6ZTT,{น้ำท่วม},"เขตวังทองหลาง,ฝ่ายโยธา เขตวังทองหลาง,ผอ.เขตวังทองหลาง (นายโครงการ),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)",น้ำท่วมขังบริเวณเลีบทางด่วนช่วงแยกเหม่งจ๋ายค่ะ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/054cd602fffd84f9e396486e66dd3c59fa3ce68a.jpg,,"100.60270,13.76737",434 ถ. ประชาอุทิศ แขวง วังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310 ประเทศไทย,วังทองหลาง,วังทองหลาง,กรุงเทพมหานคร,2022-06-06 11:40:12.368427+00,เสร็จสิ้น,,0,2022-06-15 16:20:02.081713+00,2.0
203,203,10269,2022-HLY7KU,{น้ำท่วม},"เขตบางขุนเทียน,ผอ.เขตบางขุนเทียน (นางภัสรา),กลุ่มกรุงธนใต้ (นายเฉลิมพล โชตินุชิต)",ซ.ท่าข้าม 28 ถ.พระราม 2 เขตบางขุนเทียน กทม. ฝนตกทีไร น้ำท่วมในซอยตลอด ตกแค่นิดหน่อยก็ท่วม เป็นอย่างนี้มาสามสิบปีแล้ว,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/a3ef00098fb118ebbab77635b3982a1d612e92e9.jpg,,"100.44071,13.64369",161 ซอย ท่าข้าม 28 แขวง แสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150 ประเทศไทย,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,2022-06-06 11:41:51.953689+00,เสร็จสิ้น,,0,2022-06-28 01:15:32.25699+00,2.0
206,206,10321,2022-ATLCH7,{น้ำท่วม},"เขตตลิ่งชัน,ผอ.เขตตลิ่งชัน (นางชดาวรรณ),กลุ่มกรุงธนเหนือ (นายเฉลิมพล โชตินุชิต)",น้ำท่วม,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/c599d9b018108a77d0b811d6b7c54dc5f34e661d.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/8a8e6ba402208a5ad45a5c513e4b050f2b0f1301.jpg,"100.43352,13.78898",20/116 ซอย ฉิมพลี 20 แขวง ฉิมพลี เขตตลิ่งชัน กรุงเทพมหานคร 10170 ประเทศไทย,ฉิมพลี,ตลิ่งชัน,กรุงเทพมหานคร,2022-06-06 11:57:31.018671+00,เสร็จสิ้น,,0,2022-06-07 01:14:32.246174+00,2.0
207,207,10327,2022-KLWQN4,{น้ำท่วม},"เขตหนองจอก,ผอ.เขตหนองจอก (นายไพโรจน์),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",น้ำท่วม,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/c3380a3ab3fc6a21c2b162977620bbeb7ab74b10.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-08/d8632d384eae8f197bf0aeca0f7d8e8908c48c01.jpg,"100.84132,13.77535",101/1252 ซอย เคหะฉลองกรุง แขวง ลำผักชี เขต หนองจอก กรุงเทพมหานคร 10530 ประเทศไทย,ลำผักชี,หนองจอก,กรุงเทพมหานคร,2022-06-06 12:01:44.937701+00,เสร็จสิ้น,4.0,0,2022-08-22 07:16:58.477321+00,2.0
208,208,10330,2022-HU7FUQ,"{น้ำท่วม,ถนน}","กลุ่มงานระบายน้ำ ฝ่ายโยธา@ห้วยขวาง,เขตห้วยขวาง",ปัญหาน้ำท่วมขัง บริเวณถนนประชาอุทิศ ปากซอย รัชดานิเวศน์ 11,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/a2889ee61394db3cf9e18ade07d6928debd549ff.jpg,,"100.58732,13.77552",432 ซอย ประชาอุทิศ 19 แขวง สามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310 ประเทศไทย,สามเสนนอก,ห้วยขวาง,กรุงเทพมหานคร,2022-06-06 12:03:31.919875+00,กำลังดำเนินการ,,0,2022-06-23 04:38:50.590068+00,2.0
209,209,10337,2022-4D3WXX,{น้ำท่วม},"เขตบางกะปิ,ผอ.เขตบางกะปิ (นายไพรัตน์),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",น้ำท่วมขังซอยลาดพร้าว 107 แถวๆ แยก19 มาหลายปีแล้วค่ะ เดินกลับหอพัลำบากมาก ตกนิดเดียวก็ท่วมตลอด,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/5dbd8c386784d3d71bf59f680545b1baa93eea0f.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/84ae9443eb5879621c5876290640213f4a902222.jpg,"100.63654,13.78270",555 ซอย ลาดพร้าว 107 แขวง คลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,คลองจั่น,บางกะปิ,กรุงเทพมหานคร,2022-06-06 12:06:43.61577+00,เสร็จสิ้น,4.0,0,2022-06-07 04:52:28.688498+00,2.0
210,210,10351,2022-FTPC9E,"{ทางเท้า,น้ำท่วม}","เขตหนองแขม,สำนักการโยธา กทม.,สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.),ผอ.เขตหนองแขม (นางมณีวรรณ),กลุ่มกรุงธนใต้ (นายเฉลิมพล โชตินุชิต)","ต้องการให้ปรับปรุงทางเท้าริมฟุตบาท เพชรเกษม 106/1 ดังนี้
1.ทางเดินฟุตบาทฝั่งซ้าย (หันหน้าเข้าซอยเพชรเกษม 106/1) มีการเทพื้นเป็นยางมะตอยเพียงแค่ครึ่งเดียว ซึ่งไม่แน่ใจว่าทำไมถีงไม่ทำให้ครบทั้งทางเดินฟุตบาทจากซอยเพชรเกษม 108 - เพชรเกษม 106 เลือกเอาว่าจะเทยาวมะตอยให้หมดหรือวางอิฐบล็อคตามปรกติ

2.ทางเดินฟุตบาทฝั่งขวา (หันหน้าเข้าหาซอยเพชรเกษม 106/1) เวลาฝนตกหนักจะมีน้ำท่วมขังทั่วบริเวณ ไม่สามารถใช้งานได้ อละป้ายรถเมล์ยังคงทำเป็นเต๊นท์ ซึ่งควรทำเป็นป้ายนถเมย์เหมือนป้ายอื่นๆให้เป็นมาตรฐาน",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/2a5244845295895c72daed3e0481ffbf8e78d885.jpg,,"100.35103,13.70628",82 ถ. เพชรเกษม แขวง หนองค้างพลู เขตหนองแขม กรุงเทพมหานคร 10160 ประเทศไทย,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,2022-06-06 12:11:38.154365+00,เสร็จสิ้น,4.0,0,2022-06-14 07:00:51.605611+00,2.0
214,214,10378,2022-3ZMKY6,{น้ำท่วม},"เขตทุ่งครุ,ฝ่ายโยธา เขตทุ่งครุ,ผอ.เขตทุ่งครุ (นายพงค์ศักดิ์),กลุ่มกรุงธนใต้ (นายเฉลิมพล โชตินุชิต)",น้ำท่วม หมู่บ้านวิเศษสุข ประชาอุทิศ เขตทุ่งครุ กทม (วิเศษสุขซอย 18/14),https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/383906c96402442bf24708b76d8c84d0d5ec936e.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/dbbe68a80febb6166aad973dfbed629c273ab07a.jpg,"100.51499,13.63835",998/280 ซ. วิเศษสุข 18 แขวง ทุ่งครุ เขตทุ่งครุ กรุงเทพมหานคร 10140 ประเทศไทย,ทุ่งครุ,ทุ่งครุ,กรุงเทพมหานคร,2022-06-06 12:22:06.547151+00,เสร็จสิ้น,2.0,0,2022-06-07 08:19:59.705534+00,2.0
216,216,10403,2022-8LVG79,"{น้ำท่วม,ถนน}","เขตห้วยขวาง,ฝ่ายโยธา เขตห้วยขวาง,ผอ.เขตห้วยขวาง (นายไพฑูรย์),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)",สี่แยกเหม่งจ๋าย ถนนที่ตรงมาผ่านหมู่บ้านรัชดานิเวศน์หรือทางไปรร.อนุบาลบุญยรักษ์และออกมาทางซอยประชาราษฎร์บำเพ็ญ 24 ถึงถนนประชาราษฎร์บำเพ็ญ ฝนตกเพียงครึ่งชั่วโมง น้ำท่วมสูงมาก รถเล็กผ่านไม่ได้เป็นมานานมากจะสิบปีแล้วคะ ไม่มีหน่อยไหนมาดูแลเลย นับวันก็เริ่มท่วมออกไปถึงถนนประชาราษฎร์บำเพ็ญ ไปออกรัชดา 18 ฝนตกทีไรน้ำท่วมทุกทีคะ ที่บ้านอยู่ซอยประชาราษฎร์ 29 น้ำนี่อีกนิดก็จะเข้าบ้านแล้วคะ. ฝากท่านผู้ว่าช่วยหน่อยนะคะ. ขอบคุณมากๆคะ นะครับ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/b481459ff4a2a918b923210522ab61c4139b8f68.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-11/6c4ec21f378efd6a6b9964b44a6436f060e75b82.jpg,"100.58723,13.77520",603 ซอย ประชาอุทิศ 19 แขวง สามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310 ประเทศไทย,สามเสนนอก,ห้วยขวาง,กรุงเทพมหานคร,2022-06-06 12:29:56.104578+00,เสร็จสิ้น,,0,2022-11-21 09:20:25.758617+00,1.0
217,217,10406,2022-HL6826,"{น้ำท่วม,ถนน}","เขตดินแดง,ฝ่ายโยธา เขตดินแดง,ผอ.เขตดินแดง (นายชูชาติ),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)",ถนนในซอยประชาสงเคราะห์ 2 แยก 11 เป็นหลุมขรุขระเวลาฝนตกน้ำท่วมเร็วและขังค่ะ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/742d5a4df2e3afc977f9f6caf43d2fef7846ba48.jpg,,"100.55969,13.76299",583 ซ. ประชาสงเคราะห์ 2 แขวง ดินแดง เขตดินแดง กรุงเทพมหานคร 10400 ประเทศไทย,ดินแดง,ดินแดง,กรุงเทพมหานคร,2022-06-06 12:30:19.985967+00,เสร็จสิ้น,,0,2022-08-01 08:04:00.522888+00,2.0
219,219,10414,2022-HF9RPY,"{น้ำท่วม,ถนน,ทางเท้า}","เขตพระโขนง,ฝ่ายโยธา เขตพระโขนง,ฝ่ายโยธา เขตวัฒนา,ผอ.เขตพระโขนง (น.ส.วรุณลักษม์),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",ในซอยสุขุมวิท 81 (ซอยศิริพจน์) เวลาฝนตกน้ำขัง เวลาเดินต้องเดินลุยน้ำและเวลารถขับผ่านน้ำกระเด็นใส่ค่ะ อยากให้มาช่วยทำถนนให้เรียบและทำทางเท้าให้ค่ะ ขอบคุณล่วงหน้านะคะ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/cfa4fad267c0a3e998bddcf73526099e83721992.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-10/613bf5e477eef8b8cf087ffd3665cc9800be9379.jpg,"100.60349,13.70543",42 ซอย สุขุมวิท 81 แขวง บางจาก เขตพระโขนง กรุงเทพมหานคร 10260 ประเทศไทย,บางจาก,พระโขนง,กรุงเทพมหานคร,2022-06-06 12:33:59.320479+00,เสร็จสิ้น,,0,2022-10-18 16:16:28.574251+00,2.0
220,220,10465,2022-H9GMXU,{น้ำท่วม},"เขตสาทร,ฝ่ายโยธา เขตสาทร,ผอ.เขตสาทร (นายชาติชาย),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",ฝนตกน้ำท่วมในซอยจันทน์ 18/7 แยก 16 วันที่ 6 มิ.ย. 65 ครับ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/01e1b214c67536a790d57cca54fe589331560083.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/0823eff133da47b341ad5dacdc07ad87f56d1e43.jpg,"100.52726,13.71029",4/1 ซอย จันทน์ 23/2 แขวง ทุ่งวัดดอน เขต สาทร กรุงเทพมหานคร 10120 ประเทศไทย,ทุ่งวัดดอน,สาทร,กรุงเทพมหานคร,2022-06-06 12:50:19.21387+00,เสร็จสิ้น,5.0,0,2022-06-08 05:53:26.08358+00,2.0
221,221,10466,2022-9UV69L,{น้ำท่วม},"เขตวัฒนา,ฝ่ายโยธา เขตวัฒนา,ผอ.เขตวัฒนา (น.ส.สุชิรา),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",มีน้ำท่วมขังในซอยพร้อมจิต แยก 2 (ซอยสุขุมวิท39),https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/4c802aff5657cba892b8bb6c6031613038ee8eed.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-09/63056283ed32bfb78c2f3177a4b1ad306197a129.jpg,"100.57046,13.73979",160/1 ซอย พร้อมจิต แขวง คลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย,คลองตันเหนือ,วัฒนา,กรุงเทพมหานคร,2022-06-06 12:50:26.464856+00,เสร็จสิ้น,,0,2022-09-03 07:31:46.499832+00,2.0
222,222,10468,2022-487ET3,{น้ำท่วม},"เขตดินแดง,ฝ่ายโยธา เขตดินแดง,ผอ.เขตดินแดง (นายชูชาติ),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)",พื้นที่เป็นแอ่งกระทะ น้ำท่วมขังทั้งที่พื้นที่ใกล้เคียงไม่มีน้ำขังเลย,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/5cc10dd0fd531ab7c3af6dfc87cd2cb6fc9d976e.jpg,,"100.56912,13.77322",52 รัชดาภิเษก แขวง ดินแดง เขตดินแดง กรุงเทพมหานคร 10400 ประเทศไทย,ดินแดง,ดินแดง,กรุงเทพมหานคร,2022-06-06 12:51:45.679495+00,เสร็จสิ้น,3.0,0,2022-08-01 08:04:17.837428+00,2.0
225,225,10581,2022-MBWWKQ,{น้ำท่วม},"เขตบางขุนเทียน,ผอ.เขตบางขุนเทียน (นางภัสรา),กลุ่มกรุงธนใต้ (นายเฉลิมพล โชตินุชิต)",น้ำท่วมซอยบ้านครับ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/16b78303867e243fea387129eeb23555c8ae198b.jpg,,"100.40380,13.60780",80/18 ถ. บางกระดี่ แขวง แสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150 ประเทศไทย,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,2022-06-06 13:33:38.373113+00,เสร็จสิ้น,,1,2022-08-15 11:43:01.982887+00,2.0
